대학,학과,전형,면접유형,면접시간,면접위원,면접절차,유의사항,선배조언
단국대학교,전자전기공학,학생부종합(창업인재),서류 기반,10분,3명,◈ 면접 대기실1-> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지,"◈ 자신의 생기부와 자소서 내용을 철저하게 이해하기, 꼬리질문 대비 자세한 사례나 예시 생각해보기! 면접장 분위기가 좋은 편이니 긴장하지 마시고 대답 열심히 하면 됩니다~^^"
대구교육대학교,초등교육,,,10분,2명,◈ 대기실 → 직전 대기실 → 면접 → 귀가 ◈ 면접관과 2:1 개인 면접,◈ 직전 4시간 까지 기다릴 수 있음.(운 안좋으면) ◈ 교복 절대 착용 금지(블라인드 면접),
대진대학교,미디어커뮤니케이션학과,윈윈대진,서류 기반,10분,2명,◈ 면접 대기실1(103호)-> 면접 대기실2(308호) 면접실 앞 복도 -> 면접실,◈ 블라인드 면접 / 전자기기 수거,"◈ 첫 질문에 대답을 잘하면 긴장이 한 번에 확 풀리는 것 같습니다! 그리고 생기부 내용을 전체적으로 알고 있는 편이 좋을 것 같아요, 툭 치면 나올 수 있을 정도로.... 모르는 내용이 나와도 준비한 답변들을 바탕으로 대답을 하다 보면 말이 술술 나와요. 당당한 태도를 보여 주는 게 중요할 것 같습니다!"
동국대학교,산업공학과,불교추천전형,서류 기반,생기부 7분 불교 관련 5분,2명,◈ 면접 대기실1 -> 면접실 -> 불교 관련 면접실 앞 의자 -> 면접실,"◈ 교복 착용 금지, 개인 성명 및 학교 언급 금지, 법명(개인 포함) 언급 금지 등",◈ 기억이 많이 나지 않아 소량의 질문만 적었습니다. 7분 면접이라 시간이 짧아 마지막 한 마디는 없습니다. 불교관련 질문도 주로 고등학교 활동을 위주로 질문을 할려는 것 같았습니다.
명지대학교,기계시스템공학,학생부종합(명지인재면접),서류 기반,10분,2명,◈ 면접 대기실1-> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지,◈
명지대학교,전통건축학과,명지인재면접,서류 기반,10분,2명,◈ 면접 대기실-> 면접실 앞 의자 -> 면접실,"◈ 교복 착용 금지(블라인드 면접), 전자기기 사용금지, 인쇄물 확인 가능","◈ 교과 내용을 물어보지 않음. 주로 자율, 동아리, 진로를 준비할 것. ◈ 답사 건축물, 건축가, 도서, 갈등해결 경험은 필수로 준비할 것. ◈ 본인의 생각을 물어보거나 실제 경험을 물어보는 느낌이라 디테일한 경험 답변이면 좋을 듯함."
부산대학교,유아교육과,학생부종합(학생부종합),서류 기반,10분,2명 (두분 모두 입학사정관 같음),◈ 대기실 → 직전 대기실 → 면접 → 귀가 ◈ 면접관과 2:1 개인 면접,"◈ 교복착용 금지 ◈ 기본질문이 없음 (자기소개, 동기, 의미있는 활동, 책, 마지막 말) 유아교육이 최근 면접시행이 없었어서 학과마다 다를 수 있음",◈ 답변을 외우는 건 부산대 면접을 준비하는데 좋지않을 것 같음
서울과학기술대학교,환경공학과,학교생활우수자,서류 기반,10분,2명,◈ 면접 대기실-> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지,"◈ 생기부의 내용숙지가 최우선이며, 당황하지 않도록 최대한 꼬리물어서 생각해보는게 좋을거 같습니다. 긴장하지말고 다들 좋은결과 있었으면 좋겠습니다."
서울과학기술대학교,환경공학과,기회균형전형(기회균등),서류 기반,10분,2명,◈ 면접 대기실 -> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지,◈ 생기부 내용 숙지 필수. 꼬리 질문 많음. 전공 개념관련 기본 용어 설명 요구하니 숙지 필요.
서울과학기술대학교,산업정보시스템,학생부종합(학교생활우수자),서류 기반,10분,2명,◈ 면접 대기실1-> 면접실 앞 의자 -> 면접실,"◈ 교복 착용 금지, 개인 성명 및 학교 언급 금지","◈ 전체적인 분위기는 가볍습니다. 식사는 했는지, 제가 제일 마지막이였기에 마지막이디 보니 오래 기다리셨겠다 등 처음엔 긴장을 풀어주십니다. 생기부 내용을 확실히 검토하여 왔다는 분위기, 그 분야에 대해 잘 알고 있다는 느낌이 들었습니다. 두 면접관님들이 번갈아가며 질문을 진행하셨고 마지막에 제차 더 질뭉할 것이 없었는지도 확인하시며 진행했습니다. 생기부의 꼼꼼한 내용까지 혹은 전문적인 내용도 물으니 철저히 준비하세요."
서울대학교,불어교육과,학생부종합(일반전형),제시문 기반,15분/ 15분,2명/ 2명,◈ 대기실에서 대기하다가 15분 간격으로 한명씩 면접준비하러 감/ 30분 동안 면접 준비 후 15분 면접/ 15분 동안 교직 인적성 준비 후 15분 면접,◈ 교복착용 금지/ 교외활동 및 수상 내역/ 가정환경 등 발언금지 사항 존재,◈ 가능한 자세히 기록
서울대학교,기계공학부,지역균형,서류 기반,10분,2명,◈ 면접 대기실1-> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지,◈ 공통질문 대비 완벽하게 해야합니다
서울시립대학교,환경공학부,기회균형전형I,서류 기반,12분,2명,◈ 면접 대기실1-> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지,"◈ 본인 생기부 숙지 필수, 큰 질문 4개정도에 꼬리질문 많이함. 전공관련 질문 하고 관련 기본 용어 의미 설명 요구함. 교수님중 발음 어눌하시고 목소리 작으신분 계시니 잘듣고 답해야함."
숭실대학교,불어불문학과,학생부종합,서류 기반,12분,2명,◈ 대기실 → 직전 대기실 → 면접 → 귀가,◈ 한번에 오전(혹은 오후)면접자가 입실하기 때문에 최대 4시간 대기 할 수 있음,"◈ 생기부 내용을 아는 것도 중요하지만 어문계열은 왜 이 언어에 빠지게 되었는지, 무엇을 하고 싶은지에 대한 구체적인 목표가 가장 중요"
숭실대학교,신소재공학과,학생부종합(SSU),서류 기반,10분,2명,◈ 면접 대기실1-> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지,◈ 생기부 교과세특 전과목을 꼼꼼하게 숙지해야 될거 같아요.
아주대학교,첨단신소재공학과,학생부종합(첨단융합인재전형),서류 기반,10분,2명,◈ 면접 대기실 -> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지 ◈ 대기실에서 준비한 자료 볼 수 있음.,◈ 자기소개나 지원동기에 자신이 한 활동을 얘기했다고 해서 그 활동이 질문으로 나올 거라고 생각하거나 1학년 활동은 안 나오겠지라고 생각하면 안 될 것 같아요. 면접장 분위기가 좋은 편이니 긴장하지 마시고 대답 열심히 하면 됩니다!
아주대학교,산업공학과,학생부종합(ACE),서류 기반,10분,2명,◈ 면접 대기실1-> 면접실 앞 의자 -> 면접실,"◈ 교복 착용 금지, 개인 성명 및 학교 언급 금지","◈ 기억이 많이 나지 않아 소량의 질문만 적었습니다. 아주대가 꼬리 질문을 깊게 한다고 들었지만 예상한 질문들만 있었고, 생기부 겉핥기 식으로의 진행이 되었습니다. 하지만 다른 사람들은 예상치 못한 질문을 받았다는 이야기가 들리니 여전히 생기부에 대한 깊은 이해가 필요할 것 같습니다. 특히 10분이라는 시간이 생각보다도 매우 짧게 느껴지니 주의가 필요할 것 같습니다."
아주대학교,불어불문학과,ACE전형,서류 기반,10분,13명,◈ 4시 30분까지 입실하고 4시 50분부터 가번호 차례대로 2층 올라거서 면접함.,◈ 면접시간이 짧기 때문에 잠시 생각하고 답변한다고 하면 넘어가심.,◈ 아주대학교 면접은 서류 신뢰도를 중요시하는 질문 위주인 것 같음. 만약 대답하지 못하더라도 시간이 없어서 넘어가기 때문에 다음 답변을 잘하게 된다면 괜찮은듯 함. 분위기 자체도 압박면접이 아니라 하하호호 분위기였음. 긴장하지 않고 자동진 중심으로 열심히 준비하면 좋을 것임.
원광대학교,의예과,학생부종합,서류 기반,10분,3명,◈ 면접 대기실 -> 면접 고사실 앞 의자 -> 면접 고사실,"◈ 이름 및 출신 고교 언급 금지, 면접 복장에 부착된 번호로 소개","◈ 자기 소개, 지원 동기를 비롯한 보편적인 질문이나 생기부 기반 내용에 대한 질문보다는 공동체 역량을 평가하는 것으로 보이는 질문이 많아 이에 대한 대비를 하면 좋을 것 같습니다."
이화여자대학교,통계학과,학생부종합(미래인재전형-면접형),서류 기반,6분,3명,◈ 면접 대기실(자료 볼 수O)-> 면접실 앞 의자(자료 볼 수X)-> 면접실,"◈ 교복 착용 금지, 모든 전자기기 면접이 이루어지는 건물 전체에서 사용 불가(대기실 들어간 후 가방에 대기실에서 볼 자료와 펜(필통X) 제외하고 모두 가방에 넣어서 제출","◈ 면접을 잘 보기 위해서는 생기부 개념을 하나하나 디테일하게 보는 것보다, 생기부 전반적인 활동을 어떻게 했고, 왜 이렇게 했는지와 같은 것을 아는게 좋다. / 압박면접같은 분위기는 아니지만, 교수님 3분들이 역할을 나누어 일부러 조금 무서워보이게 하시는 것 같다. 거기에 신경쓰지말고 웃으면서 말하고, 그리고 생각보다 6분 굉장히 짧게 느껴지니깐 너무 긴장 안하고 할 말 다하고 나왔으면 좋을 것 같습니다!"
인하대학교,신소재공학과,학생부종합(인하미래인재(면접형)),서류 기반,7분~10분 (7분으로 타이머 맞춤),2명,◈ 면접 대기실 -> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지 ◈ 대기실에서 준비한 자료 볼 수 있음,◈ 자신이 직접 한 활동이든 아니든 무조건 진짜 한 것처럼 말하는 게 중요하고 너무 긴장하지 말고 무조건 눈 쳐다보면서 자신감 있게 말하세요! 면접장 분위기가 좋은 편이니 긴장하지 마시고 대답 열심히 하면 됩니다!
전남대학교,원예생명공학과,학생부종합(영농창업인재전형),서류 기반,10분,2명,◈ 면접 대기실 → 면접실 → 귀가,"◈ 교복착용 금지. 본인,부모님,친척 성함 언급 금지 등 블라인드 면접","◈ 세특에 있는 내용을 답변하고 공통 질문도 많이 물어보시니 준비하고, 생기부에 없는 내용도 어느정도 알아두면 좋을 듯. 꼬리질문 대비 자세한 사례나 예시 생각해보기! 면접장 분위기가 좋은 편이니 긴장하지 마시고 대답 열심히 하면 됩니다~^^"
홍익대학교,섬유 미술. 패션디자인 학과,농어촌전형,제시문 기반,10분,2명,"◈ 입실 후, 대기 (대기 시간 동안 자료 보는 것 금지) -> 한 사람씩 투표 형식과 같이  칸막이 별로 들어가 그림 풀이 (총 36분 풀이(2분 이동)) -> 10분 심층 면접","◈ 개인정보 알리는 행위 금지 / 그림 풀이 시 필요한 연필, 지우개 제공0","◈ 문제 풀이에 시간을 많이 할애하여 미활보, 생기부 기반 질문은 받지 않았다. / 그림 풀이 시 미술의 기본 개념을 알아야 풀 수 있는 질문이 특히 많으므로 수능 직후 미술 기본 상식과 개념을 쌓는 것이 중요하다. / 아날로그 시계는 무조건 챙겨가는 게 좋다! / 미술 개념 익히기 > 그림 연습"
